numero;nome;nome
107;0;B
106;0;B
105;0;B
104;0;B
101;0;B
102;0;B
CORREDOR;0;B
103;0;B
207;1;B
208;1;B
206;1;B
205;1;B
204;1;B
"202 / 203";1;B
201;1;B
210;1;B
209;1;B
CORREDOR;1;B
311;2;B
312;2;B
310;2;B
309;2;B
308;2;B
307;2;B
306;2;B
305;2;B
304;2;B
303;2;B
302;2;B
301;2;B
CORREDOR;2;B
105;0;A
104;0;A
103;0;A
102;0;A
101;0;A
108;0;A
107;0;A
106;0;A
CORREDOR;0;A
204;1;A
203;1;A
202;1;A
201;1;A
208;1;A
207;1;A
206;1;A
205;1;A
CORREDOR;1;A
303;2;A
302;2;A
301;2;A
306;2;A
305;2;A
304;2;A
CORREDOR;2;A
103;0;E
104;0;E
102;0;E
101;0;E
CORREDOR;0;E
201;1;E
202;1;E
203;1;E
204;1;E
205;1;E
206;1;E
207;1;E
208;1;E
209;1;E
210;1;E
211;1;E
CORREDOR;1;E
301;2;E
302;2;E
303;2;E
304;2;E
305;2;E
306;2;E
307;2;E
308;2;E
309;2;E
310;2;E
311;2;E
312;2;E
306;2;C
305;2;C
304;2;C
303;2;C
302;2;C
301;2;C
312;2;C
311;2;C
310;2;C
309;2;C
308;2;C
307;2;C
CORREDOR;2;C
207;1;C
206;1;C
205;1;C
204;1;C
203;1;C
202;1;C
201;1;C
212;1;C
211;1;C
210;1;C
209;1;C
208;1;C
CORREDOR;1;C
102;0;C
101;0;C
107;0;C
106;0;C
105;0;C
104;0;C
103;0;C
301;2;F
302;2;F
303;2;F
304;2;F
305;2;F
306;2;F
307;2;F
308;2;F
309;2;F
310;2;F
311;2;F
312;2;F
CORREDOR;2;F
201;1;F
202;1;F
203;1;F
204;1;F
205;1;F
206;1;F
207;1;F
208;1;F
209;1;F
210;1;F
211;1;F
212;1;F
CORREDOR;1;F
101;0;F
102;0;F
103;0;F
104;0;F
105;0;F
106;0;F
107;0;F
108;0;F
109;0;F
CORREDOR;0;F
301;2;F
302;2;F
303;2;F
304;2;F
305;2;F
306;2;F
307;2;F
308;2;F
309;2;F
310;2;F
311;2;F
312;2;F
CORREDOR;2;F
201;1;F
202;1;F
203;1;F
204;1;F
205;1;F
206;1;F
207;1;F
208;1;F
209;1;F
210;1;F
211;1;F
212;1;F
CORREDOR;1;F
101;0;F
102;0;F
103;0;F
104;0;F
105;0;F
106;0;F
107;0;F
108;0;F
109;0;F
CORREDOR;0;F
212;1;G
201;1;G
202;1;G
203;1;G
204;1;G
205;1;G
206;1;G
207;1;G
208;1;G
209;1;G
210;1;G
211;1;G
CORREDOR;1;G
ESCADARIA;1;G
301;2;G
302;2;G
303;2;G
304;2;G
305;2;G
306;2;G
307;2;G
308;2;G
309;2;G
310;2;G
311;2;G
312;2;G
CORREDOR;2;G
AUDITÓRIO;0;G
CORREDOR;0;G
CABINE;0;G
SAGUÃO;0;G
EXTERNO;0;G
"WC MASC.";0;G
312;2;D
311;2;D
310;2;D
309;2;D
308;2;D
307;2;D
306;2;D
305;2;D
304;2;D
303;2;D
302;2;D
301;2;D
CORREDOR;2;D
212;1;D
211;1;D
210;1;D
209;1;D
208;1;D
207;1;D
206;1;D
205;1;D
204;1;D
203;1;D
202;1;D
201;1;D
CORREDOR;1;D
107;0;D
106;0;D
105;0;D
104;0;D
103;0;D
101;0;D
CORREDOR;0;D
Corredor;1;P
Recepção;1;P
201;1;P
202;1;P
203;1;P
204;1;P
205;1;P
206;1;P
207;1;P
208;1;P
209;1;P
210;1;P
211;1;P
215;1;P
Corredor;1;P
217;1;P
218;1;P
213/214;1;P
221/222;1;P
212;1;P
223;1;P
216;1;P
219;1;P
220;1;P
351;2;P
301;2;P
302;2;P
303;2;P
304;2;P
305;2;P
306;2;P
307;2;P
308;2;P
309;2;P
310;2;P
311;2;P
312;2;P
313;2;P
314;2;P
315;2;P
316;2;P
317;2;P
318;2;P
319;2;P
320;2;P
321;2;P
322;2;P
323;2;P
324;2;P
325;2;P
326;2;P
327;2;P
328;2;P
"Circulação A";2;P
329;2;P
116;0;P
117/118;0;P
"Corredor - Terreo";0;P
119;0;P
111;0;P
112;0;P
113;0;P
114;0;P
115;0;P
116;0;P
112;0;P
107;0;P
120;0;P
121;0;P
106;0;P
104;0;P
103;0;P
102;0;P
101;0;P
Recepção;0;P
Catraca;0;P
105;0;P
"Carga e Descarga";0;P
110;0;P
109;0;P
108;0;P
122;0;P
Passarela;1;Adm
Corredor;1;Adm
215;1;Adm
201;1;Adm
Auditório;1;Adm
211-212;1;Adm
202;1;Adm
Copa;1;Adm
205;1;Adm
209;1;Adm
207;1;Adm
208;1;Adm
206;1;Adm
203;1;Adm
Monitoramento;0;Adm
"Corredor Entrada";0;Adm
"Corredor WC Feminino";0;Adm
"Hall Entrada";0;Adm
Biblioteca;0;Adm
101;0;Adm
102;0;Adm
107;0;Adm
106;0;Adm
103;0;Adm
104;0;Adm
105;0;Adm
CORREDOR;0;Adm
"SALA 101";0;Adm
301;2;Adm
302;2;Adm
303;2;Adm
304;2;Adm
305;2;Adm
306;2;Adm
307;2;Adm
308;2;Adm
309;2;Adm
310;2;Adm
311;2;Adm
312;2;Adm
313;2;Adm
314;2;Adm
315;2;Adm
316;2;Adm
317;2;Adm
318;2;Adm
319;2;Adm
320;2;Adm
