C_ABET_E1_2;C_ABET_HP5120-G_E1;C;10.50.0.117
C_ABET_P1;C_ABET_HP5120-G_P1;C;10.50.0.116
NULL;NULL;C;NULL
C_ABET_E1_1;C_ABET_HP5120-G_E1;C;10.50.0.117
P_PT_E1_2;P_PT_HP5130-G_E1;P;10.50.0.128
P_PT_E1_1;P_PT_HP5130-G_E1;P;10.50.0.128
C_ABET_E1_3;C_ABET_HP5120-G_E1;C;10.50.0.117
NULL;NULL;D;NULL
D_ABE1_E1_2;D_ABE1_HP5120-G_E1;D;10.50.0.106
D_ABE1_E2_1;D_ABE1_HP5120-G_E2;D;10.50.0.115
D_ABE1_P1;D_ABE1_HP5120-G_P_1;D;10.50.0.105
D_AB1_P2;D_AB1_HP5120-G_P2;D;10.50.0.146
D_ABE1_E1_3;D_ABE1_HP5120-G_E1;D;10.50.0.106
NULL;NULL;E;NULL
E_ABE2_E1_3;E_ABE2_HP5120-G_E1;E;10.50.0.108
E_ABE2_P1;E_ABE2_HP5120-G_P_1;E;10.50.0.107
E_ABE2_E2_1;E_ABE2_HP5120-G_E2;E;10.50.0.109
E_ABE2_E1_2;E_ABE2_HP5120-G_E1;E;10.50.0.108
E_ABE2_E1_4;E_ABE2_HP5120-G_E1;E;10.50.0.108
E_ABE2_E1_2;E_ABE2_HP5120-G_E2;E;10.50.0.109
R_ADMT1_E1_1;R_ADMT1_HP5130-G_E1;R;10.50.0.136
R_ADMT1_P1;R_ADMT1_HP5130-G_P1;R;10.50.0.135
NULL;NULL;R;NULL
R_ADMT1_E1_2;R_ADMT1_HP5130-G_E1;R;10.50.0.136
R_ADMT1_E1_3;R_ADMT1_HP5130-G_E1;R;10.50.0.136
R_ADMT1_E1_4;R_ADMT1_HP5130-G_E1;R;10.50.0.136
S_ADM2_E1_1;S_ADM2_HP5130-G_E1;S;10.50.0.138
S_ADM2_P1;S_ADM2_HP5130-G_P1;S;10.50.0.137
NULL;NULL;S;NULL
D_ABE1_E1_1;D_ABE1_HP5120-G_E1;D;10.50.0.106
E_ABE2_E1_1;E_ABE2_HP5120-G_E1;E;10.50.0.108
A_CT12_E1_2;A_CT12_HP5120-G_E;A;10.50.0.102
NULL;NULL;A;NULL
A_CT12_P_1;A_CT12_HP3600-24F-P_1;A;10.50.0.101
A_CT12_E1_1;A_CT12_HP5120-G_E;A;10.50.0.102
B_DT12_P_1;B_DT12_HP3600-24F-P_1;B;10.50.0.103
NULL;NULL;B;NULL
B_DT12_E1_2;B_DT12_HP5120-G_E1;B;10.50.0.104
B_DT12_E1_1;B_DT12_HP5120-G_E1;B;10.50.0.104
NULL;NULL;I;NULL
D_ABE1_E1_3;D_ABE1_HP5120-G_E1;I;10.50.0.106
D_ABE1_E1_4;D_ABE1_HP5120-G_E1;I;10.50.0.106
D_ABE1_P1;D_ABE1_HP5120-G_P_1;I;10.50.0.105
D_ABE1_E2_1;D_ABE1_HP5120-G_E2;I;10.50.0.115
D_ABE1_E2_2;D_ABE1_HP5120-G_E2;I;10.50.0.115
E_ABE2_P1;E_ABE2_HP5120-G_P_1;F;10.50.0.107
NULL;NULL;F;NULL
E_ABE2_E1_4;E_ABE2_HP5120-G_E1;F;10.50.0.108
E_ABE2_E2_1;E_ABE2_HP5120-G_E2;F;10.50.0.109
H_FT12_E1_3;H_FT12_HP5120-G_E1;H;10.50.0.112
NULL;NULL;H;NULL
H_FT12_P1;H_FT12_HP5120-G_P1;H;10.50.0.113
H_FT12_E2_1;H_FT12_HP5120-G_E2;H;10.50.0.114
H_FT12_E1_4;H_FT12_HP5120-G_E1;H;10.50.0.112
H_FT12_E1_2;H_FT12_HP5120-G_E1;H;10.50.0.112
H_FT12_E1_1;H_FT12_HP5120-G_E1;H;10.50.0.112
G_GT12_E1_1;G_GT12_HP5120-G_E1;G;10.50.0.110
NULL;NULL;G;NULL
G_GT12_P1;G_GT12_HP5120-G_P1;G;10.50.0.111
G_GT12_E1_2;G_GT12_HP5120-G_E1;G;10.50.0.110
P_PT_E1_3;P_PT_HP5130-G_E1;P;10.50.0.128
P_PT_P1;P_PT_HP5130-G_P1;P;10.50.0.127
NULL;NULL;P;NULL
P_PT_E1_4;P_PT_HP5130-G_E1;P;10.50.0.128
Q_PT_E1_1;Q_PT_HP5130-G_E1;Q;10.50.0.130
Q_PT_E1_2;Q_PT_HP5130-G_E1;Q;10.50.0.130
NULL;NULL;Q;NULL
Q_PT_E1_3;Q_PT_HP5130-G_E1;Q;10.50.0.130
Q_PT_P1;Q_PT_HP5130-G_P1;Q;10.50.0.129
L_P12_P1;L_P12_HP5130-G_P1;Q;10.50.0.123
L_P12;L_P12_HP5130-G_E1;1L;10.50.0.124
L_P12_P1;L_P12_HP5130-G_P1;1L;10.50.0.123
NULL;NULL;1L;NULL
N_P12_E1_2;N_P12_HP5130-G_E1;2N;10.50.0.126
NULL;NULL;2N;NULL
N_P12_E1_1;N_P12_HP5130-G_E1;2N;10.50.0.126
N_P12_P1;N_P12_HP5130-G_P1;2N;10.50.0.125
M_P2_E1;M_P2_HP5130-G_E1;2M;10.50.0.134
NULL;NULL;2M;NULL
M_P2_P1;M_P2_HP5130-G_P1;2M;10.50.0.133
2;M_P2_HP5130-G_E1;2M;10.50.0.134
M_P2_E3;M_P2_HP5130-G_E1;2M;10.50.0.134
M_P2_E4;M_P2_HP5130-G_E1;2M;10.50.0.134
R_ADMT1_P1;R_ADMT1_HP5130-G_P1;2M;10.50.0.135
P_PT_P1;P_PT_HP5130-G_P1;Q;10.50.0.127
